rule_id,metric_value,label
RULE-000,24.81,0
RULE-000,16.81,0
RULE-000,67.15,1
RULE-000,79.57,1
RULE-000,10.53,0
RULE-000,6.84,0
RULE-000,20.93,0
RULE-000,18.96,0
RULE-000,16.21,0
RULE-000,26.92,0
RULE-000,25.4,0
RULE-000,23.69,0
RULE-000,27.96,0
RULE-000,0.17,0
RULE-000,8.16,0
RULE-000,32.06,0
RULE-000,31.68,0
RULE-000,7.01,0
RULE-000,21.9,0
RULE-000,31.3,0
RULE-000,29.04,0
RULE-000,26.76,0
RULE-000,14.11,0
RULE-000,27.04,0
RULE-000,9.45,0
RULE-000,5.72,0
RULE-000,27.12,0
RULE-000,31.52,0
RULE-000,1.39,0
RULE-000,13.28,0
RULE-000,20.82,0
RULE-000,23.75,0
RULE-000,28.12,0
RULE-000,51.34,0
RULE-000,12.88,0
RULE-000,9.28,0
RULE-000,19.44,0
RULE-000,30.37,0
RULE-000,0.0,0
RULE-000,5.94,0
RULE-000,36.3,0
RULE-000,20.13,0
RULE-000,34.84,0
RULE-000,32.29,0
RULE-000,32.43,0
RULE-000,25.46,0
RULE-000,46.43,0
RULE-000,59.26,1
RULE-000,13.49,0
RULE-000,5.32,0
RULE-000,31.26,0
RULE-000,29.56,0
RULE-000,27.79,0
RULE-000,13.04,0
RULE-000,43.38,0
RULE-000,6.3,0
RULE-000,14.42,0
RULE-000,15.52,0
RULE-000,23.31,0
RULE-000,47.92,1
RULE-000,50.83,0
RULE-000,24.12,0
RULE-000,18.75,0
RULE-000,24.69,0
RULE-000,33.59,0
RULE-000,28.26,0
RULE-000,21.07,0
RULE-000,13.42,0
RULE-000,17.82,0
RULE-000,47.32,0
RULE-000,0.0,0
RULE-000,15.1,0
RULE-000,39.69,0
RULE-000,19.79,0
RULE-000,27.27,0
RULE-000,26.93,0
RULE-000,21.55,0
RULE-000,29.71,0
RULE-000,24.2,0
RULE-000,49.09,0
RULE-000,21.87,0
RULE-000,40.15,0
RULE-000,36.33,0
RULE-000,13.53,0
RULE-000,23.44,0
RULE-000,12.26,0
RULE-000,7.1,0
RULE-000,27.29,0
RULE-000,26.42,0
RULE-000,19.77,0
RULE-000,26.89,0
RULE-000,12.67,0
RULE-000,10.87,0
RULE-000,25.46,0
RULE-000,0.0,0
RULE-000,29.65,0
RULE-000,45.74,0
RULE-000,20.26,0
RULE-000,25.05,0
RULE-000,13.83,0
RULE-000,16.61,0
RULE-000,23.08,0
RULE-000,18.15,0
RULE-000,43.62,0
RULE-000,62.59,0
RULE-000,8.77,0
RULE-000,26.68,0
RULE-000,29.62,0
RULE-000,0.0,0
RULE-000,14.57,0
RULE-000,0.0,0
RULE-000,19.91,0
RULE-000,27.87,0
RULE-000,24.5,0
RULE-000,21.0,0
RULE-000,27.09,0
RULE-000,5.01,0
RULE-000,10.0,0
RULE-000,0.0,0
RULE-000,15.93,0
RULE-000,21.33,0
RULE-000,33.73,0
RULE-000,11.38,0
RULE-000,40.75,0
RULE-000,64.8,0
RULE-000,19.94,0
RULE-000,17.42,0
RULE-000,51.27,0
RULE-000,15.04,0
RULE-000,26.09,0
RULE-000,0.0,0
RULE-000,0.0,0
RULE-000,68.66,1
RULE-000,10.11,0
RULE-000,24.77,0
RULE-000,25.31,0
RULE-000,17.83,0
RULE-000,38.37,0
RULE-000,13.43,0
RULE-000,12.57,0
RULE-000,23.71,0
RULE-000,15.54,0
RULE-000,43.28,0
RULE-000,20.89,0
RULE-000,19.44,0
RULE-000,3.5,0
RULE-000,88.66,1
RULE-000,32.96,0
RULE-000,29.31,0
RULE-000,5.18,0
RULE-000,10.15,0
RULE-000,47.05,0
RULE-000,27.75,0
RULE-000,14.94,0
RULE-000,25.58,0
RULE-000,0.0,0
RULE-000,37.73,0
RULE-000,45.76,0
RULE-000,30.64,0
RULE-000,38.49,1
RULE-000,5.15,0
RULE-000,47.19,0
RULE-000,24.29,0
RULE-000,10.62,0
RULE-000,38.7,0
RULE-000,1.39,0
RULE-000,9.34,0
RULE-000,23.19,0
RULE-000,29.02,0
RULE-000,21.67,0
RULE-000,30.93,0
RULE-000,18.15,0
RULE-000,36.8,0
RULE-000,18.42,0
RULE-000,28.6,0
RULE-000,18.83,0
RULE-000,31.44,0
RULE-000,29.34,0
RULE-000,7.83,0
RULE-000,10.49,0
RULE-000,19.75,0
RULE-000,84.99,1
RULE-000,0.0,0
RULE-000,15.29,0
RULE-000,17.03,0
RULE-000,24.2,0
RULE-000,10.25,0
RULE-000,44.21,0
RULE-000,15.4,0
RULE-000,33.11,0
RULE-000,30.08,0
RULE-000,30.37,0
RULE-000,35.48,0
RULE-000,9.8,0
RULE-000,31.35,0
RULE-000,20.4,0
RULE-000,11.97,0
RULE-000,8.05,0
RULE-000,0.0,0
RULE-000,25.19,0
RULE-000,34.21,0
RULE-000,28.53,0
RULE-000,29.65,0
RULE-000,0.15,0
RULE-000,21.31,0
RULE-000,23.19,0
RULE-000,23.42,0
RULE-000,16.17,0
RULE-000,27.42,0
RULE-000,39.73,0
RULE-000,19.59,0
RULE-000,19.21,0
RULE-000,31.38,0
RULE-000,29.09,0
RULE-000,16.12,0
RULE-000,19.89,0
RULE-000,0.0,0
RULE-000,26.85,0
RULE-000,0.0,0
RULE-000,1.94,0
RULE-000,17.34,0
RULE-000,4.85,0
RULE-000,37.95,0
RULE-000,7.13,0
RULE-000,20.7,0
RULE-000,39.38,0
RULE-000,12.9,0
RULE-000,12.73,0
RULE-000,18.78,0
RULE-000,31.98,0
RULE-000,22.79,0
RULE-000,40.76,0
RULE-000,6.42,0
RULE-000,29.53,0
RULE-000,0.0,0
RULE-000,34.29,0
RULE-000,34.5,0
RULE-000,2.57,0
RULE-000,50.73,1
RULE-000,38.29,0
RULE-000,1.05,0
RULE-000,31.16,0
RULE-000,22.1,0
RULE-000,29.6,0
RULE-000,53.69,1
RULE-000,37.61,0
RULE-000,13.55,0
RULE-000,21.79,0
RULE-000,50.53,1
RULE-000,74.67,1
RULE-000,30.14,0
RULE-000,31.55,0
RULE-000,23.21,0
RULE-000,31.9,0
RULE-000,20.69,0
RULE-000,0.0,0
RULE-000,36.86,0
RULE-000,22.39,0
RULE-000,6.72,0
RULE-000,1.55,0
RULE-000,28.83,0
RULE-000,61.28,1
RULE-000,34.3,0
RULE-000,34.52,0
RULE-000,13.27,0
RULE-000,0.0,0
RULE-000,20.29,0
RULE-000,13.8,0
RULE-000,22.74,0
RULE-000,22.29,0
RULE-000,33.32,0
RULE-000,16.89,0
RULE-000,13.54,0
RULE-000,2.92,0
RULE-000,31.02,0
RULE-000,5.78,0
RULE-000,22.88,0
RULE-000,8.31,0
RULE-000,8.2,0
RULE-000,19.92,0
RULE-000,47.13,0
RULE-000,41.27,0
RULE-000,16.59,0
RULE-000,6.62,0
RULE-000,17.32,0
RULE-000,44.42,0
RULE-000,0.5,0
RULE-000,28.89,0
RULE-000,23.13,0
RULE-000,15.41,0
RULE-000,2.51,0
RULE-000,24.4,0
RULE-000,69.06,1
RULE-000,13.57,0
RULE-000,5.6,0
RULE-000,43.55,0
RULE-000,52.75,0
RULE-000,22.44,0
RULE-000,0.0,0
RULE-000,21.99,0
RULE-000,0.0,0
RULE-000,21.74,0
RULE-000,16.3,0
RULE-000,9.72,0
RULE-000,6.59,0
RULE-000,17.66,0
RULE-000,17.28,0
RULE-000,10.23,0
RULE-000,22.75,0
RULE-000,26.67,0
RULE-000,24.07,0
RULE-000,28.93,0
RULE-000,36.47,0
RULE-000,17.99,0
RULE-000,23.67,0
RULE-000,29.37,0
RULE-000,53.61,1
RULE-000,18.1,0
RULE-000,18.13,0
RULE-000,13.82,0
RULE-000,32.52,0
RULE-000,7.88,0
RULE-000,22.11,0
RULE-000,24.34,0
RULE-000,26.28,0
RULE-000,8.24,0
RULE-000,27.53,0
RULE-000,22.88,0
RULE-000,27.07,0
RULE-000,20.12,0
RULE-000,22.79,0
RULE-000,11.15,0
RULE-000,0.0,0
RULE-000,29.69,0
